"id","dim","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","condition"
"958","2","76.5","76.5","76.5","76.5","76.5","509.9","556.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","540.5","546.96","593.5","593.5","430.350000000002","1.42000000000019","-77.1300000000001","-88.9399999999999","-96.65","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-88.5","-44.58","-12.25","-4.5","4.5","19.5","19.5","15.5","14.5","14.5","154.279999999998","274.72","353.5","401.579999999998","410.709999999999","414.52","406.02","404.5","315","315","315","315","315","302.3","281.88","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","277","268.54","242","242","274.3","251.1","195.64","188.56","176.75","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","168","130.08","130.2","139","141","130","126","118","118","118","299.709999999997","412.32","519","593.739999999997","612.209999999999","609.3","599","596","simple"
"961","2","411.033325195312","411.033325195312","137.173325195312","53.0333251953125","137.041658528646","195.170825195313","310.163825195312","524.572075195312","604.033325195312","413.437325195313","343.033325195312","338.033325195312","338.033325195312","338.033325195312","338.033325195312","338.033325195312","330.845325195313","217.391825195312","75.0333251953125","20.0333251953125","20.0333251953125","20.0333251953125","20.0333251953125","20.0333251953125","20.0333251953125","19.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","3.0333251953125","12.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","17.0333251953125","26.0333251953125","26.0333251953125","27.0333251953125","29.0333251953125","36.0333251953125","42.0333251953125","34.0333251953125","30.0333251953125","23.5198251953125","23.0333251953125","23.0333251953125","23.0333251953125","17.0333251953125","24.0333251953125","24.0333251953125","21.0253251953123","20.0333251953125","20.0333251953125","33.0333251953125","33.0333251953125","20.0333251953125","20.0333251953125","20.0333251953125","20.0333251953125","20.0333251953125","4.0333251953125","-9.79167480468755","-118.966674804688","-141.966674804688","-145.966674804688","-145.966674804688","-145.966674804688","-145.966674804688","-145.966674804688","-119.784674804681","273.550325195312","356.620825195312","403.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","404.033325195312","275","275","123.484","61","57","47","64","76.7615","81","84","83","83","83","83","83","83","87","132.674","126","110","110","110","110","110","110","119.275","136","136","136","136","136","136","136","136","136","136","136","136","130","130","130","130","130","130","130","130","131","131","131","122.322","126","134","138.986","166","194.697","239.605","301.408","333.027","335","335","335","354","381","381","412.288","434","434","498.274000000001","500","527.517285714287","541","541","541","541","534","524.35","448","428","427","427","427","427","427","424.513","570","602","616","616","616","616","616","616","616","616","616","616","616","616","616","616","612","complex"
"962","2","422.5","422.5","422.5","422.5","422.5","511.579464285714","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","534.5","62.84375","-29.5","12.76125","14.5","14.5","14.5","14.5","14.5","14.5","14.5","15.6499999999996","257.419999999997","367.5","368.5","373.855","386.2625","348.5","374.5","397.366071428571","493.43625","506.5","506.5","477.943750000001","406.50125","404.5","407.5","259","259","259","259","259","245.80625","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","226","335.6875","404","329.176875","314.824107142857","299","299","302","302","302","302","302.7875","335.99","340","340","339.29","318.45","367.033124999999","579.040357142857","559.813839285715","479.17625","473","473","554.428125","598.77625","604","588","simple"
"968","2","606.800018310547","786.744589739118","851.800018310547","852.800018310547","854.846518310547","909.868768310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","912.800018310547","913.800018310547","913.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","914.800018310547","870.525018310547","718.891893310547","780.775018310548","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","966.800018310547","955.867143310546","115.249018310545","-273.263731689453","-178.129981689454","-13.1999816894531","-10.1474816894531","18.8000183105469","15.8000183105469","15.8000183105469","15.8000183105469","164.944821881974","702.904018310552","1133.52301831055","951.900018310545","834.153393310547","830.054518310547","582.800018310547","410.853768310558","355.800018310547","361.800018310547","361.800018310547","373.717768310547","382.800018310547","385.800018310547","269","247.696571428571","216","216","212.72","162.474375","156","156","156","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","155","154.725","154","154","154","154","154","154","153","152.477","152","151","150","149","149","149","149","149","149","149","149","149","149","149","149","148","143","176.0335","194","183","180","178.94875","177","177","177","176","176","176","175","175","175","175","175","175","175","175","175","175","175","175","174","173","173","175.4675","310","186.284375","170","200","200","212","208","208","207","314.486517857142","394.908","318.893875","319.23125","345.879625","333.2545","587","602.309499999999","453.96","588.845","556.554625","564.31175","577","580","complex"
"973","2","427.5","422.1528","418.196","417.5","417.5","211.025","172.184","180.34","108.815","90.5","85.5","68.5","80.434","84.5","81.452","67.6925","62.5","46.479","39.316","31.403","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","29.5","27.584","24.5","24.5","24.5","24.5","22.1025","15.5","13.5","12.5","14.9830000000001","16.5","18.5","18.5","18.5","16.5959999999999","16.5","15.5","15.285","11.9269999999999","11.5","12.362","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","6.30457142857142","-2.5","3.85850000000016","13.1400000000002","15.5","15.5","15.5","15.5","9.75","8.5","20.6045000000001","25.4479999999998","-6.5","7.5","7.5","8.5","8.5","10.5","12.71","13.5","13.5","13.5","12.5","5.7349999999999","3.5","12.5","16.5","16.5","110.305000000002","266.818000000002","347.996","370.995","391.911","397.5","290","265.742","257","257","257","242.375","253","220.92","189.727","172.359166666667","161.905","169","152.066","148","133.619","92.1925","83.497","82","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","88.916","98","98","98","98","103","112.985","119","130.855","147.483","154","157.961","160","162","163","163","163","172.075","189.192","199.164","209.408","213","213","213","213","213","213","213","214.077714285715","259.638285714286","348.09","388.3585","397","398","401","405","405","426.2875","461.621","491.005","473.094999999997","201.024571428572","155","154","154","154","154","155.21","156","156","156","152.666","124.275","114","108","107","107","214.630000000002","395.952000000004","563","580.495","594","588","simple"
"976","2","334","334","334","334","334","334","334","334","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","281","282","282","283","283","312.451428571429","587","602.38","943.32","946","946","951","951","951","951","951","954","956","956","956","956","956","956","956","956","956","956","956","956","956","956","957","958","957","957","831.431249999994","228.2625","33.6062499999998","19.0250000000001","18","18","16.415","188","150.55125","379","386.07","398","276","276","276","276","276","276","276","276","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","279","278","276","276","275","275","268.813571428571","254","250.3175","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","247","246","246","246","237.01875","177.2875","121","110","118","118","223.58","333","432.181249999999","539","587.07","594","complex"
"978","2","393","393","393","393","393","384.578125","384","384","384","384","384","384","384","384","384","384","384","384","384","384","378.3375","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","376","298.109999999999","225","198.400625","45.7749999999996","33","33","33","33","33","29","28","28","34.9906250000001","40","40","40","24.921875","20","32","32","31","28","21.8743749999999","12.3474999999999","-1","8.05000000000018","24.2187500000005","41","45","74.251428571429","34.9237499999998","17.1500000000004","23","23","23","27","27","27","330.005000000001","495","414.322916666666","403","261","261","261","261","261","249.203125","249","249","249","249","249","249","249","249","249","249","249","249","249","249","250","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","253","167.674999999999","136","145.91875","190.0875","181.184375","181","181","181","181","208.535","218","218","250.811458333334","266","266","266","319.53125","352.693928571429","389","389","398","409","426.54375","443.6525","459","469.94","483.21875","498.0025","514","405.228571428569","193.30875","147.887499999999","125","125","125","121","121","121","269.740000000001","503.365000000002","605.976666666667","588","simple"
"979","2","416.5","416.5","416.5","416.5","416.5","259.53","125.5","125.5","162.715","164.5","166.7175","169.5","169.5","179.1685","162.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","167.5","184.94","182.5","188.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","192.5","180.52325","169.5","166.5","166.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","160.5","161.5","143.5","139.086","128.94","100.96225","84.48","62.0625","47.5","44.5","44.5","45.1860000000001","47.5","45.5","19.0074999999999","9.67799999999988","11.035","15.5","15.5","13.5","92.3937142857145","646.528","676.5","658.7725","643.5","643.5","618.5","539.993749999997","390.5","389.883142857143","418.5","417.5","409.5","256","256","256","256","256","105.811428571428","-2","-2","53.544","55","56.34","57","57","51.779","44","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","32.425","28","28","25","25","25","25","25","25","140","140","140","140","140","140","140","140","126.17925","123","117.994","115","115","115","115","115","115","115","117","117","116","106","115.2245","131.215","172.89475","188.02","203.55","224.47","227","227","227","229.825","240.881","314.735","324","314.645","309","309","311","336.676571428571","319.685","313","313.313","321","321","358","415.991250000003","548.724","562.085142857143","574","579","589","simple"
"985","2","408","408","408","408","408","408","408","408","408","408","408","408","408","408","408","408","408","408","408","408","408","389.505","384","379","379","379","379","379","379","379","379","379","379","379","379","379","337.03","297.53","276.069999999999","-113","-74","-34","-17.01","11.98125","20","20","20","20","20","20","20","20","20","18","18","13","13","13","16","29.8812499999999","72.05","209.295","214","212","211","211","210","210","209","208","208","208","208","208","208","208","208","208","208","208","208","208","208","208","208","207","207","206","206","206","206","206","206","206","206","206","206","220.771874999999","372.42125","387","389","267","267","267","267","267","267","267","267","267","267","267","267","267","267","267","267","267","267","267","267","267","262","258","246","245","245","245","245","245","245","245","245","245","245","245","245","256.695","383","378.305","395.19875","311","282","253.2925","193.01875","116","115","115","115","115","115","118","121","124","125","126","133","129","125","118","179.839999999999","437.1","605","605","599","589","588","587","587","587","587","587","587","587","587","587","586","586","586","586","586","586","586","586","586","586","585","584","584","584","584","584","584","584","584","584","584","584","583","599","597.32125","594","simple"
"987","2","372","316.153214285714","194.0375","29.2558749999999","-19","-23.67375","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-52","-42.575","-30.35475","-18.4949999999999","-8.14874999999995","-0.331499999999949","2","2","8.58900000000006","20.5825000000001","29","29.535","25.2302499999998","23","23","23","23","21.4884999999999","19","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","-37.4035000000006","-68","-69","-69","386.773625000001","464","460.28","430.035999999999","384.745625","382","382","397","216","180.399607142857","138.8075","86.372125","64","59.4225","52","52","47","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","47.7162500000001","60.425","74.2635","87.4030000000001","99.1905","109","112","112","118.178","128","131","126.108571428571","121.703","120","120","120","120","120","119","118","118","118","118","118","118","118","118","118","118","118","118","118","118","118","118","118","118","118","118","118","109.747","164","245","245","618.915000000001","684","627.604999999999","601.52","576.331","573","573","588","complex"
